;avgGS;lat;long;maxGS;minGS;numGS;stdDevGS;Country_Code;Avis;Date
771;1.9;25.354826;51.183884;2.8;1.0;8;0.7794228634059946;QAT;pos;2017-04-23
2902;1.0;14.058324;108.277199;1.0;1.0;1;0.0;VNM;pos;2017-04-23
2093;2.5;48.8667;2.33333;5.0;0.0;2;2.5;WST;pos;2017-04-23
851;-10.0;34.802075;38.996815;-10.0;-10.0;7;0.0;SYR;neg;2017-04-23
859;-4.357142857142857;38.963745;35.243322;-2.0;-8.0;7;2.7608782985839553;TUR;neg;2017-04-23
2914;0.0;31.952162;35.233154;0.0;0.0;1;0.0;PSE;pos;2017-04-23
1620;-2.0;41.87194;12.56738;-2.0;-2.0;3;0.0;ITA;neg;2017-04-23
864;-5.257142857142857;51.165691;10.451526;-0.4;-10.0;7;3.7958086444532637;DEU;neg;2017-04-23
2191;1.0;51.919438;19.145136;1.0;1.0;2;0.0;POL;pos;2017-04-23
2304;-2.0;31.791702;-7.09262;-2.0;-2.0;2;0.0;MAR;neg;2017-04-23
1713;5.5;40.463667;-3.74922;7.0;2.5;3;2.1213203435596424;ESP;pos;2017-04-23
2452;-9.0;60.128161;18.643501;-9.0;-9.0;2;0.0;SWE;neg;2017-04-23
1606;2.7999999999999994;9.145;40.489673;2.8;2.8;3;0.0;ETH;pos;2017-04-23
330;-0.6380952380952382;61.52401;105.318756;-0.3;-2.0;21;0.6615106740500006;RUS;neg;2017-04-23
1167;1.2;33.854721;35.862285;2.8;0.0;5;1.3145341380123987;LBN;pos;2017-04-23
1392;3.6;47.516231;14.550072;5.2;0.0;4;2.1354156504062622;AUT;pos;2017-04-23
128;2.8086206896551724;51.165691;10.451526;7.0;0.0;58;1.134913711251094;DEU;pos;2017-04-23
129;2.756896551724138;55.378051;-3.435973;8.0;0.0;58;2.4008699622231413;GBR;pos;2017-04-23
4;2.007216494845361;46.227638;2.213749;10.0;0.0;291;2.3920219957274798;FRA;pos;2017-04-23
1408;2.3499999999999996;23.885942;45.079162;2.8;1.9;4;0.45000000000000007;SAU;pos;2017-04-23
405;-3.755555555555555;47.16684444444444;7.200181111111111;-2.0;-10.0;18;2.350938872077901;EUR;neg;2017-04-23
2286;-4.4;-38.416097;-63.616672;-4.4;-4.4;2;0.0;ARG;neg;2017-04-23
775;3.425;52.132633;5.291266;7.0;0.0;8;2.6161756439505357;NLD;pos;2017-04-23
1742;-4.0;-40.900557;174.885971;-4.0;-4.0;3;0.0;NZL;neg;2017-04-23
902;3.142857142857143;26.820553;30.802498;4.0;2.8;7;0.5421047417431508;EGY;pos;2017-04-23
2101;1.0;53.709807;27.953389;1.0;1.0;2;0.0;BLR;pos;2017-04-23
2367;3.4;30.585164;36.238414;3.4;3.4;2;0.0;JOR;pos;2017-04-23
1393;3.0999999999999996;-0.789275;113.921327;3.4;2.8;4;0.29999999999999993;IDN;pos;2017-04-23
572;4.5;23.684994;90.356331;7.0;1.0;12;2.958039891549808;BGD;pos;2017-04-23
1776;4.0;4.570868;-74.297333;4.0;4.0;3;0.0;COL;pos;2017-04-23
2112;3.4;-8.728060000000001;125.566;3.4;3.4;2;0.0;TMP;pos;2017-04-23
274;2.4153846153846152;41.87194;12.56738;7.0;0.0;26;2.0333171661658818;ITA;pos;2017-04-23
2771;0.0;21.512583;55.923255;0.0;0.0;1;0.0;OMN;pos;2017-04-23
2113;-3.5;35.937496;14.375416;-2.0;-5.0;2;1.5;MLT;neg;2017-04-23
636;-6.1;50.503887;4.469936;-2.0;-9.0;10;2.0223748416156684;BEL;neg;2017-04-23
701;5.0;60.128161;18.643501;7.0;1.0;9;2.8284271247461903;SWE;pos;2017-04-23
166;3.1717391304347826;61.52401;105.318756;10.0;0.0;46;3.209135265042341;RUS;pos;2017-04-23
983;2.766666666666667;-4.679574;55.491977;5.0;1.0;6;1.4161763857498666;SYC;pos;2017-04-23
491;3.4285714285714284;35.86166;104.195397;8.0;0.0;14;2.5833059028607317;CHN;pos;2017-04-23
223;1.9636363636363636;47.532021212121215;-0.6852375757575756;10.0;0.0;33;2.166804403335486;EUR;pos;2017-04-23
990;3.0833333333333335;-25.274398;133.775136;7.0;1.9;6;1.808698119888692;AUS;pos;2017-04-23
1321;2.8;5.152149;46.199616;2.8;2.8;4;0.0;SOM;pos;2017-04-23
1150;3.0;53.41291;-8.24389;6.0;1.0;5;2.449489742783178;IRL;pos;2017-04-23
1025;2.6;11.825138;42.590275;3.0;1.0;6;0.7211102550927979;DJI;pos;2017-04-23
2741;1.9;35.937496;14.375416;1.9;1.9;1;0.0;MLT;pos;2017-04-23
